Unique_identifier,obs_trip_id,haul_number,specimen_number,Slide Box,Slide No.,Count,Margin,Quality,Comments,,,,,,,,,,
JRL037-9-107,JRL037,9,107,SEFIS_Box_1_TM,29,2,2,E,,,,,,,,,,,
JWP112-9-109,JWP112,9,109,SEFIS_Box_1_TM,81,2,2,D,,,,,,,,,,,
JWP112-9-112,JWP112,9,112,SEFIS_Box_1_TM,83,2,2,E,,,,,,,,,,,
MPE025-2-101,MPE025,2,101,SEFIS_Box_2_TM,21,2,2,E,only one otolith,,,,,,,,,,
MPE025-3-101,MPE025,3,101,SEFIS_Box_2_TM,22,2,2,E,,,,,,,,,,,
MPE025-6-101,MPE025,6,101,SEFIS_Box_2_TM,23,2,2,E,only one otolith,,,,,,,,,,
PJC007-11-102,PJC007,11,102,SEFIS_Box_2_TM,41,2,3,D,,,,,,,,,,,
PJC007-142-101,PJC007,142,101,SEFIS_Box_2_TM,45,2,4,E,,,,,,,,,,,
PJC007-153-101,PJC007,153,101,SEFIS_Box_2_TM,49,2,4,E,,,,,,,,,,,
JWP109-27-102,JWP109,27,102,SEFIS_Box_2_TM,57,2,3,D,,,,,,,,,,,
JRL034-7-105,JRL034,7,105,SEFIS_Box_1_TM,2,3,2,D,,,,,,,,,,,
JRL037-5-102,JRL037,5,102,SEFIS_Box_1_TM,21,3,2,D,,,,,,,,,,,
JRL037-5-103,JRL037,5,103,SEFIS_Box_1_TM,22,3,2,E,,,,,,,,,,,
JRL037-5-104,JRL037,5,104,SEFIS_Box_1_TM,23,3,2,E,,,,,,,,,,,
JRL037-9-102,JRL037,9,102,SEFIS_Box_1_TM,24,3,2,D,,,,,,,,,,,
JRL037-9-104,JRL037,9,104,SEFIS_Box_1_TM,26,3,2,D,,,,,,,,,,,
JRL037-9-105,JRL037,9,105,SEFIS_Box_1_TM,27,3,2,E,,,,,,,,,,,
JRL038-10-104,JRL038,10,104,SEFIS_Box_1_TM,34,3,2,D,,,,,,,,,,,
JRL038-9-101,JRL038,9,101,SEFIS_Box_1_TM,35,3,2,E,,,,,,,,,,,
JRL038-9-103,JRL038,9,103,SEFIS_Box_1_TM,36,3,2,E,,,,,,,,,,,
JRL044-1-105,JRL044,1,105,SEFIS_Box_1_TM,41,3,3,D,,,,,,,,,,,
JRL044-12-104,JRL044,12,104,SEFIS_Box_1_TM,42,3,4,D,,,,,,,,,,,
JRL045-20-101,JRL045,20,101,SEFIS_Box_1_TM,44,3,2,D,,,,,,,,,,,
JRL045-9-105,JRL045,9,105,SEFIS_Box_1_TM,46,3,3,D,,,,,,,,,,,
JRL036-5-104,JRL036,5,104,SEFIS_Box_1_TM,48,3,2,D,,,,,,,,,,,
JRL039-16-101,JRL039,16,101,SEFIS_Box_1_TM,52,3,2,E,,,,,,,,,,,
JRL041-1-112,JRL041,1,112,SEFIS_Box_1_TM,58,3,2,E,,,,,,,,,,,
JRL041-5-105,JRL041,5,105,SEFIS_Box_1_TM,61,3,2,E,,,,,,,,,,,
JWP111-1-103,JWP111,1,103,SEFIS_Box_1_TM,74,3,2,D,,,,,,,,,,,
JWP111-11-101,JWP111,11,101,SEFIS_Box_1_TM,75,3,2,D,,,,,,,,,,,
JWP112-14-105,JWP112,14,105,SEFIS_Box_1_TM,78,3,2,D,,,,,,,,,,,
JWP112-9-110,JWP112,9,110,SEFIS_Box_1_TM,82,3,2,E,,,,,,,,,,,
JRL033-6-103,JRL033,6,103,SEFIS_Box_2_TM,12,3,2,E,,,,,,,,,,,
JRL039-13-110,JRL039,13,110,SEFIS_Box_2_TM,13,3,2,D,,,,,,,,,,,
MPE025-8-101,MPE025,8,101,SEFIS_Box_2_TM,24,3,3,D,,,,,,,,,,,
MPE026-18-101,MPE026,18,101,SEFIS_Box_2_TM,29,3,3,D,,,,,,,,,,,
MPE026-8-101,MPE026,8,101,SEFIS_Box_2_TM,31,3,3,D,,,,,,,,,,,
PJC007-142-102,PJC007,142,102,SEFIS_Box_2_TM,46,3,4,D,,,,,,,,,,,
PJC007-149-101,PJC007,149,101,SEFIS_Box_2_TM,48,3,4,D,,,,,,,,,,,
PJC007-5-103,PJC007,5,103,SEFIS_Box_2_TM,53,3,4,E,,,,,,,,,,,
JWP109-26-105,JWP109,26,105,SEFIS_Box_2_TM,56,3,4,D,,,,,,,,,,,
JWP110-14-114,JWP110,14,114,SEFIS_Box_2_TM,58,3,3,D,remaining otolith is broken.,,,,,,,,,,
JRL041-5-104,JRL041,5,104,SEFIS_Box_2_TM,59,3,3,D,"sample envelope missing information on envelope face, assumed to be this sample.",,,,,,,,,,
JRL036-13-103,JRL036,13,103,SEFIS_Box_1_TM,9,4,3,D,,,,,,,,,,,
JRL036-5-101,JRL036,5,101,SEFIS_Box_1_TM,12,4,2,D,,,,,,,,,,,
JRL036-5-106,JRL036,5,106,SEFIS_Box_1_TM,13,4,2,D,,,,,,,,,,,
JRL036-5-107,JRL036,5,107,SEFIS_Box_1_TM,14,4,2,D,,,,,,,,,,,
JRL038-10-101,JRL038,10,101,SEFIS_Box_1_TM,33,4,2,E,,,,,,,,,,,
JRL038-9-107,JRL038,9,107,SEFIS_Box_1_TM,37,4,2,D,,,,,,,,,,,
